Timestamp	Nanomaterial label	DOI of the paper that studies this material	Nanomaterial primary particle size (in nm)	Core composition	Core label	core NPO	Coating composition (optional)	Coating label	Zeta potential (in mV)	Nanomaterial webpage	Redistribution rights	2nd Coating composition	What did you study for this nanomaterial?
14/09/2016 19:46:24	UV-Titan L181	10.1016/j.reprotox.2015.05.015	20.6	[O=Ti=O]	titanium dioxide	CHEBI_51050					Yes, eNanoMapper can reshare this information under the CCZero waiver.		
14/09/2016 19:49:32	Silver	10.1016/j.reprotox.2015.05.015	50	[Ag]	silver	NPO_1892					Yes, eNanoMapper can reshare this information under the CCZero waiver.		
14/09/2016 19:56:41	Ag-NP	10.1007/s10646-014-1302-y	3-8	[Ag]	silver	NPO_1892					Yes, eNanoMapper can reshare this information under the CCZero waiver.		
15/09/2016 11:15:40	Manganese	10.1016/j.electacta.2016.07.017	20	[Mn]	manganese	ENM_9000073			-24(7,4)	American elements	Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization
16/09/2016 08:57:51	Polystyrene 	10.1039/C5NR02618K	20	c1ccccc1C-C	polystyrene	ENM_9000008			-30		Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization
16/09/2016 10:39:25	Polystyrene amine modified	10.1016/j.jprot.2015.09.005	100	c1ccccc1C-C	polystyrene	ENM_9000008					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Ecotoxicity
16/09/2016 10:45:59	Silver	10.1007/s11356-015-4887-7	25	[Ag]	silver	NPO_1892	O=C1N(C-C)CCC1	PVP			Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Ecotoxicity
29/09/2016 15:24:58	MWCNT-7	10.1186/1743-8977-11-4	74	[C]	carbonnanotube	NPO_354					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Toxicity (not eco)
29/09/2016 15:25:46	NM-401	10.1186/1743-8977-11-4	64	[C]	carbonnanotube	ENM_9000080					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Toxicity (not eco)
29/09/2016 15:30:48	MWCNT 8-15 nm OD	10.1186/1743-8977-11-4	17	[C]	carbonnanotube	NPO_354					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Toxicity (not eco)
29/09/2016 15:31:23	Baytubes C 150 HP	10.1186/1743-8977-11-4	12	[C]	carbonnanotube	NPO_354					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Toxicity (not eco)
29/09/2016 15:31:53	NM-400	10.1186/1743-8977-11-4	13.6	[C]	carbonnanotube	ENM_9000081					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Toxicity (not eco)
29/09/2016 15:32:39	Carbon black Printex 90	10.1186/1743-8977-11-4	14	[C]	carbon	NPO_707					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Toxicity (not eco)
29/09/2016 15:34:02	MWCNT-7	10.3109/17435390.2015.1017022	74	[C]	carbonnanotube	NPO_354					Yes, eNanoMapper can reshare this information under the CCZero waiver.		Toxicity (not eco), Computational (tox, props, etc)
29/09/2016 15:44:10	NGAP NP Ag-2103	10.1016/j.tox.2012.09.014	41	[Ag]	silver	NPO_1892	N1(C(CCC1)=O)CC	PVP			Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization, Toxicity (not eco)
15/09/2016 11:15:40	Alumininum	10.1016/j.electacta.2016.07.017	70	[Al]	aluminum	ENM_9000020			-5(7,4)	American elements	Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization
15/09/2016 11:15:40	copper	10.1016/j.electacta.2016.07.017	100	[Cu]	copper	ENM_9000016				American elements	Yes, eNanoMapper can reshare this information under the CCZero waiver.		Physicalchemical characterization